AC Type,City,Cn/Ln,Country,Date,Location,Operator,Registration,Route,Summary,Time,Aboard,Aboard Crew,Aboard Passangers,Crashes,Fatalities,Fatalities Crew,Fatalities Passangers,Flight #,Ground
Wright Flyer III,Fort Myer,1, Virginia,9/17/1908,"Fort Myer, Virginia",Military - U.S. Army,,Demonstration,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",12/30/1899 5:18:00 PM,2,1,1,1,1,0,1,,0
Wright Byplane,Juvisy-sur-Orge,, France,9/7/1909,"Juvisy-sur-Orge, France",,SC1,Air show,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",,1,1,0,1,1,0,0,,0
Dirigible,Atlantic City,, New Jersey,7/12/1912,"Atlantic City, New Jersey",Military - U.S. Navy,,Test flight,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",12/30/1899 6:30:00 AM,5,5,0,1,5,5,0,,0
Curtiss seaplane,Victoria,, Canada,8/6/1913,"Victoria, British Columbia, Canada",Private,,,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",,1,1,0,1,1,1,0,,0
Zeppelin L-1 (airship),Over the North Sea,,Over the North Sea,9/9/1913,Over the North Sea,Military - German Navy,,,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,12/30/1899 6:30:00 PM,20,,,1,14,,,,0
Zeppelin L-2 (airship),Near Johannisthal,, Germany,10/17/1913,"Near Johannisthal, Germany",Military - German Navy,,,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",12/30/1899 10:30:00 AM,30,,,1,30,,,,0
Zeppelin L-8 (airship),Tienen,, Belgium,3/5/1915,"Tienen, Belgium",Military - German Navy,,,Crashed into trees while attempting to land after being shot down by British and French aircraft.,12/30/1899 1:00:00 AM,41,,,1,21,,,,0
Zeppelin L-10 (airship),Off Cuxhaven,, Germany,9/3/1915,"Off Cuxhaven, Germany",Military - German Navy,,,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",12/30/1899 3:20:00 PM,19,,,1,19,,,,0
Schutte-Lanz S-L-10 (airship),Near Jambol,, Bulgeria,7/28/1916,"Near Jambol, Bulgeria",Military - German Army,,,"Crashed near the Black Sea, cause unknown.",,20,,,1,20,,,,0
Zeppelin L-32 (airship),Billericay,, England,9/24/1916,"Billericay, England",Military - German Navy,,,Shot down by British aircraft crashing in flames.,12/30/1899 1:00:00 AM,22,,,1,22,,,,0
Zeppelin L-31 (airship),Potters Bar,, England,10/1/1916,"Potters Bar, England",Military - German Navy,,,Shot down in flames by the British 39th Home Defence Squadron.,12/30/1899 11:45:00 PM,19,19,0,1,19,19,0,,0
Super Zeppelin (airship),Mainz,, Germany,11/21/1916,"Mainz, Germany",Military - German Army,,,Crashed in a storm.,,28,,,1,27,,,,0
Zeppelin L-34 (airship),Off West Hartlepool,, England,11/28/1916,"Off West Hartlepool, England",Military - German Navy,,,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,12/30/1899 11:45:00 PM,20,,,1,20,,,,0
Airship,Near Gent,, Belgium,3/4/1917,"Near Gent, Belgium",Military - German Army,,,Caught fire and crashed.,,20,,,1,20,,,,0
Schutte-Lanz S-L-9 (airship),Off Northern Germany,,Off Northern Germany,3/30/1917,Off Northern Germany,Military - German Navy,,,Struck by lightning and crashed into the Baltic Sea.,,23,,,1,23,,,,0
Zeppelin L-22 (airship),Near Texel Island,, North Sea,5/14/1917,"Near Texel Island, North Sea",Military - German Navy,,,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",12/30/1899 5:15:00 AM,21,,,1,21,,,,0
Zeppelin L-43 (airship),Off Vlieland Island,, North Sea,6/14/1917,"Off Vlieland Island, North Sea",Military - German Navy,,,Shot down by British aircraft.,12/30/1899 8:45:00 AM,24,,,1,24,,,,0
Zepplin LZ-95 (air ship),Near Yarmouth,, England,6/17/1917,"Near Yarmouth, England",,L-48,,Shot down by aircraft.,,16,,,1,14,,,,0
